,Provider.Number,Hospital.Name,Address.1,Address.2,Address.3,City,State,ZIP.Code,County.Name,Phone.Number,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Attack,Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Heart.Failure,Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Lower.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Upper.Mortality.Estimate...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Footnote...Hospital.30.Day.Death..Mortality..Rates.from.Pneumonia,Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Attack,Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Footnote...Hospital.30.Day.Readmission.Rates.from.Heart.Failure,Hospital.30.Day.Readmission.Rates.from.Pneumonia,Comparison.to.U.S..Rate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Lower.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Upper.Readmission.Estimate...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Number.of.Patients...Hospital.30.Day.Readmission.Rates.from.Pneumonia,Footnote...Hospital.30.Day.Readmission.Rates.from.Pneumonia
71,010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,,,SELMA,AL,36701,DALLAS,3344184100,14.7,No Different than U.S. National Rate,11.5,18.7,111,,12.0,No Different than U.S. National Rate,9.5,15.1,318,,14.0,No Different than U.S. National Rate,11.2,17.0,229,,21.2,No Different than U.S. National Rate,17.3,25.5,101,,28.3,No Different than U.S. National Rate,24.7,32.1,371,,21.1,No Different than U.S. National Rate,17.6,24.9,238,
78,010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,13.3,No Different than U.S. National Rate,10.4,16.7,177,,13.8,No Different than U.S. National Rate,11.1,17.1,303,,10.4,No Different than U.S. National Rate,8.1,13.5,306,,18.7,No Different than U.S. National Rate,15.2,22.8,162,,23.6,No Different than U.S. National Rate,20.3,27.4,328,,18.7,No Different than U.S. National Rate,15.4,22.2,313,
81,010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,16.5,No Different than U.S. National Rate,13.3,20.1,224,,13.5,No Different than U.S. National Rate,11.1,16.4,416,,13.0,No Different than U.S. National Rate,10.7,15.7,516,,18.6,No Different than U.S. National Rate,15.4,21.9,248,,24.4,No Different than U.S. National Rate,21.5,27.7,496,,17.1,No Different than U.S. National Rate,14.7,20.0,520,
82,010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,16.0,No Different than U.S. National Rate,12.1,20.3,142,,10.4,No Different than U.S. National Rate,8.0,13.4,380,,13.8,No Different than U.S. National Rate,10.1,17.9,193,,22.8,No Different than U.S. National Rate,18.5,27.6,138,,24.4,No Different than U.S. National Rate,21.4,27.5,526,,18.9,No Different than U.S. National Rate,15.3,22.9,191,
85,010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,14.2,No Different than U.S. National Rate,11.2,18.0,95,,9.6,No Different than U.S. National Rate,7.4,12.4,297,,10.2,No Different than U.S. National Rate,8.0,13.3,234,,20.1,No Different than U.S. National Rate,16.1,24.7,56,,26.2,No Different than U.S. National Rate,22.7,29.9,362,,16.3,No Different than U.S. National Rate,13.3,19.8,252,
86,01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,,,BIRMINGHAM                    ,AL,35233,JEFFERSON,2059334515,16.1,No Different than U.S. National Rate,12.4,20.8,98,,10.4,No Different than U.S. National Rate,7.6,14.1,195,,11.0,No Different than U.S. National Rate,7.9,15.0,140,,22.1,No Different than U.S. National Rate,17.8,27.1,105,,22.3,No Different than U.S. National Rate,18.7,26.0,248,,17.5,No Different than U.S. National Rate,13.9,21.4,161,
91,010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,,,SYLACAUGA,AL,35150,TALLADEGA,2562495000,15.2,No Different than U.S. National Rate,11.4,20.0,37,,11.7,No Different than U.S. National Rate,8.7,15.6,149,,11.4,No Different than U.S. National Rate,8.6,15.0,230,,19.3,No Different than U.S. National Rate,15.2,24.0,26,,22.3,No Different than U.S. National Rate,18.8,26.5,206,,20.7,No Different than U.S. National Rate,17.0,24.9,240,
99,020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,,,ANCHORAGE,AK,99519,ANCHORAGE,9072613675,13.4,No Different than U.S. National Rate,10.6,16.8,280,,12.4,No Different than U.S. National Rate,9.9,15.4,368,,10.5,No Different than U.S. National Rate,7.9,13.6,269,,18.4,No Different than U.S. National Rate,15.4,22.1,303,,21.6,No Different than U.S. National Rate,18.7,25.1,462,,15.7,No Different than U.S. National Rate,12.9,19.1,301,
100,020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,,,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,17.7,No Different than U.S. National Rate,13.3,23.3,69,,11.4,No Different than U.S. National Rate,8.3,15.6,110,,12.1,No Different than U.S. National Rate,9.0,16.0,193,,20.1,No Different than U.S. National Rate,16.0,25.1,65,,24.9,No Different than U.S. National Rate,20.6,29.7,133,,18.0,No Different than U.S. National Rate,14.7,21.8,221,
102,020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,,,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,15.5,No Different than U.S. National Rate,11.5,20.7,64,,15.6,No Different than U.S. National Rate,11.5,21.0,107,,13.4,No Different than U.S. National Rate,9.8,17.9,105,,18.0,No Different than U.S. National Rate,14.0,22.8,53,,23.3,No Different than U.S. National Rate,19.0,28.0,113,,17.7,No Different than U.S. National Rate,14.1,22.0,122,
103,020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,14.5,No Different than U.S. National Rate,10.9,19.0,67,,13.4,No Different than U.S. National Rate,9.7,18.2,74,,12.5,No Different than U.S. National Rate,8.9,16.9,74,,17.8,No Different than U.S. National Rate,14.0,22.4,86,,23.9,No Different than U.S. National Rate,19.6,29.1,82,,17.4,No Different than U.S. National Rate,13.7,21.9,74,
106,020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,,,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,15.7,No Different than U.S. National Rate,11.7,21.2,33,,11.6,No Different than U.S. National Rate,8.3,16.3,69,,15.5,No Different than U.S. National Rate,11.6,20.6,135,,20.8,No Different than U.S. National Rate,16.1,26.1,28,,24.5,No Different than U.S. National Rate,20.1,29.4,90,,20.1,No Different than U.S. National Rate,16.1,24.5,145,
117,030002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,,,PHOENIX,AZ,85006,MARICOPA,6022394200,13.6,No Different than U.S. National Rate,10.8,17.3,183,,8.7,Better than U.S. National Rate,6.6,11.2,315,,11.1,No Different than U.S. National Rate,8.3,14.8,180,,19.1,No Different than U.S. National Rate,15.9,22.6,256,,22.5,No Different than U.S. National Rate,19.6,25.9,428,,16.9,No Different than U.S. National Rate,13.8,20.7,190,
118,030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,,,TUCSON,AZ,85712,PIMA,5203275461,14.1,No Different than U.S. National Rate,11.8,16.9,359,,13.0,No Different than U.S. National Rate,10.6,15.7,413,,11.7,No Different than U.S. National Rate,9.5,14.2,422,,21.1,No Different than U.S. National Rate,18.1,24.3,405,,24.3,No Different than U.S. National Rate,21.3,27.6,481,,19.1,No Different than U.S. National Rate,16.3,22.3,454,
119,030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,,,COTTONWOOD,AZ,86326,YAVAPAI,9286396000,20.0,Worse than U.S. National Rate,16.1,24.6,125,,9.6,No Different than U.S. National Rate,7.1,12.8,163,,13.2,No Different than U.S. National Rate,10.2,16.8,225,,17.1,No Different than U.S. National Rate,13.6,21.5,109,,21.3,No Different than U.S. National Rate,17.5,25.5,177,,18.4,No Different than U.S. National Rate,15.1,22.2,234,
120,030010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,,,TUCSON,AZ,85745,PIMA,5208723000,17.2,No Different than U.S. National Rate,13.8,21.3,198,,10.9,No Different than U.S. National Rate,8.3,14.3,198,,10.9,No Different than U.S. National Rate,8.2,14.2,201,,20.6,No Different than U.S. National Rate,17.0,24.8,184,,20.7,No Different than U.S. National Rate,17.3,24.8,239,,17.9,No Different than U.S. National Rate,14.7,21.7,222,
121,030011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,,,TUCSON,AZ,85711,PIMA,5208733000,16.5,No Different than U.S. National Rate,13.2,20.4,214,,9.7,No Different than U.S. National Rate,7.6,12.5,320,,15.0,Worse than U.S. National Rate,12.4,18.1,402,,19.0,No Different than U.S. National Rate,15.5,23.1,193,,23.2,No Different than U.S. National Rate,20.1,26.9,368,,18.5,No Different than U.S. National Rate,15.7,21.6,422,
122,030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,,,PRESCOTT,AZ,86301,YAVAPAI,9284452700,14.3,No Different than U.S. National Rate,11.5,17.4,286,,12.7,No Different than U.S. National Rate,10.1,16.0,259,,11.7,No Different than U.S. National Rate,9.4,14.3,418,,19.1,No Different than U.S. National Rate,15.9,22.6,296,,25.0,No Different than U.S. National Rate,21.5,28.5,311,,17.9,No Different than U.S. National Rate,15.2,20.8,461,
123,030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,,,YUMA,AZ,85364,YUMA,9283367275,13.7,No Different than U.S. National Rate,11.3,16.3,503,,13.5,No Different than U.S. National Rate,11.1,16.2,524,,13.8,No Different than U.S. National Rate,11.8,16.0,833,,17.1,No Different than U.S. National Rate,14.7,20.0,512,,24.9,No Different than U.S. National Rate,22.2,27.9,636,,20.5,No Different than U.S. National Rate,18.2,22.9,896,
124,030014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,,,PHOENIX,AZ,85020,MARICOPA,6028706060,14.7,No Different than U.S. National Rate,11.5,18.9,120,,10.6,No Different than U.S. National Rate,8.2,13.7,215,,10.0,No Different than U.S. National Rate,7.5,13.3,189,,19.8,No Different than U.S. National Rate,16.1,24.1,118,,24.6,No Different than U.S. National Rate,21.0,28.3,263,,17.5,No Different than U.S. National Rate,14.5,21.2,204,
125,030016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,,,CASA GRANDE,AZ,85222,PINAL,5203816453,15.4,No Different than U.S. National Rate,11.3,20.5,73,,12.4,No Different than U.S. National Rate,9.0,16.7,144,,15.1,No Different than U.S. National Rate,11.4,19.8,220,,20.0,No Different than U.S. National Rate,15.6,25.0,38,,27.3,No Different than U.S. National Rate,23.0,32.2,169,,21.5,No Different than U.S. National Rate,17.8,25.4,235,
127,030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,,,FLAGSTAFF,AZ,86001,COCONINO,9287732009,13.6,No Different than U.S. National Rate,10.5,17.3,157,,12.8,No Different than U.S. National Rate,9.7,16.6,163,,10.2,No Different than U.S. National Rate,7.8,13.2,242,,18.8,No Different than U.S. National Rate,15.4,23.0,164,,25.0,No Different than U.S. National Rate,21.2,29.5,183,,15.8,No Different than U.S. National Rate,13.1,19.3,247,
128,030024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,,,PHOENIX,AZ,85013,MARICOPA,6024063000,17.0,No Different than U.S. National Rate,13.2,21.3,144,,11.1,No Different than U.S. National Rate,8.2,14.7,172,,12.3,No Different than U.S. National Rate,9.2,16.3,154,,19.3,No Different than U.S. National Rate,15.9,23.3,159,,24.6,No Different than U.S. National Rate,20.7,28.7,229,,18.1,No Different than U.S. National Rate,14.6,22.0,172,
129,030030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,,,PHOENIX,AZ,85015,MARICOPA,6022490212,17.3,No Different than U.S. National Rate,13.1,22.3,93,,12.4,No Different than U.S. National Rate,9.2,16.4,117,,15.3,No Different than U.S. National Rate,10.8,20.9,81,,20.3,No Different than U.S. National Rate,16.3,25.0,91,,24.7,No Different than U.S. National Rate,20.6,29.2,156,,18.4,No Different than U.S. National Rate,14.7,22.9,88,
131,030036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,,,CHANDLER,AZ,85224,MARICOPA,4809634561,15.4,No Different than U.S. National Rate,12.2,19.0,211,,10.1,No Different than U.S. National Rate,7.7,12.8,301,,10.5,No Different than U.S. National Rate,8.4,13.2,364,,18.2,No Different than U.S. National Rate,15.1,21.7,254,,24.1,No Different than U.S. National Rate,21.0,27.7,353,,21.0,No Different than U.S. National Rate,18.0,24.3,406,
132,030037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,,,PHOENIX,AZ,85006,MARICOPA,6022518156,15.5,No Different than U.S. National Rate,11.3,21.0,39,,10.5,No Different than U.S. National Rate,7.3,14.9,45,,12.5,No Different than U.S. National Rate,8.5,17.7,51,,20.0,No Different than U.S. National Rate,16.0,24.9,42,,26.1,No Different than U.S. National Rate,21.4,31.5,64,,17.6,No Different than U.S. National Rate,13.9,22.5,53,
133,030038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,,,SCOTTSDALE,AZ,85251,MARICOPA,4808824000,16.6,No Different than U.S. National Rate,13.3,20.6,176,,10.3,No Different than U.S. National Rate,8.2,12.8,399,,11.6,No Different than U.S. National Rate,9.3,14.2,368,,18.4,No Different than U.S. National Rate,14.9,22.2,172,,24.8,No Different than U.S. National Rate,21.8,28.1,480,,19.7,No Different than U.S. National Rate,16.7,22.8,392,
134,030043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,,,SIERRA VISTA,AZ,85635,COCHISE,5204584641,15.8,No Different than U.S. National Rate,12.4,19.7,135,,12.3,No Different than U.S. National Rate,9.4,15.9,199,,11.1,No Different than U.S. National Rate,8.2,14.7,222,,19.0,No Different than U.S. National Rate,15.3,23.3,89,,25.2,No Different than U.S. National Rate,21.5,29.1,223,,18.5,No Different than U.S. National Rate,15.4,22.1,221,
135,030055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,,,KINGMAN,AZ,86409,MOHAVE,9287572101,15.7,No Different than U.S. National Rate,12.3,19.7,177,,9.5,No Different than U.S. National Rate,7.3,12.2,323,,12.2,No Different than U.S. National Rate,9.9,15.0,416,,18.6,No Different than U.S. National Rate,15.2,22.6,168,,22.9,No Different than U.S. National Rate,19.9,26.3,405,,17.2,No Different than U.S. National Rate,14.6,20.0,416,
136,030061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,,,SUN CITY,AZ,85351,MARICOPA,6239777211,14.7,No Different than U.S. National Rate,12.5,17.2,459,,11.8,No Different than U.S. National Rate,9.8,13.8,657,,11.4,No Different than U.S. National Rate,9.5,13.7,589,,22.1,No Different than U.S. National Rate,19.2,25.3,513,,23.8,No Different than U.S. National Rate,21.4,26.6,867,,17.0,No Different than U.S. National Rate,14.7,19.7,626,
137,030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,,,SHOW LOW,AZ,85901,NAVAJO,9285374375,14.2,No Different than U.S. National Rate,10.5,18.8,46,,11.3,No Different than U.S. National Rate,8.1,15.4,70,,13.5,No Different than U.S. National Rate,10.1,18.0,158,,19.3,No Different than U.S. National Rate,15.4,24.3,38,,25.8,No Different than U.S. National Rate,20.9,31.1,75,,19.3,No Different than U.S. National Rate,15.4,23.5,166,
138,030064,UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE,1501 NORTH CAMPBELL AVENUE,,,TUCSON,AZ,85724,PIMA,5206940111,14.2,No Different than U.S. National Rate,11.3,17.9,225,,9.5,No Different than U.S. National Rate,7.2,12.4,218,,10.1,No Different than U.S. National Rate,7.7,13.0,251,,20.5,No Different than U.S. National Rate,17.3,24.2,258,,25.0,No Different than U.S. National Rate,21.6,28.5,328,,19.0,No Different than U.S. National Rate,15.9,22.6,276,
139,030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,,,MESA,AZ,85202,MARICOPA,4804123000,14.0,No Different than U.S. National Rate,10.8,17.8,162,,10.0,No Different than U.S. National Rate,7.8,12.8,295,,10.1,No Different than U.S. National Rate,7.8,13.0,321,,19.5,No Different than U.S. National Rate,15.8,23.5,161,,26.5,No Different than U.S. National Rate,22.8,30.5,353,,19.8,No Different than U.S. National Rate,16.5,23.4,330,
140,030067,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,,,PARKER,AZ,85344,LA PAZ,9286697300,14.2,No Different than U.S. National Rate,10.4,19.4,38,,11.3,No Different than U.S. National Rate,7.9,16.1,56,,11.7,No Different than U.S. National Rate,8.5,15.8,126,,19.9,No Different than U.S. National Rate,15.3,25.2,31,,25.4,No Different than U.S. National Rate,20.8,30.6,67,,20.6,No Different than U.S. National Rate,16.6,25.1,135,
142,030069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,,,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185,19.1,No Different than U.S. National Rate,15.5,23.5,202,,12.3,No Different than U.S. National Rate,9.6,15.8,271,,17.1,Worse than U.S. National Rate,13.3,21.7,225,,18.7,No Different than U.S. National Rate,15.3,22.7,182,,24.3,No Different than U.S. National Rate,20.9,28.3,311,,19.1,No Different than U.S. National Rate,15.5,23.4,222,
148,030083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,,,PHOENIX,AZ,85032,MARICOPA,6029235000,17.2,No Different than U.S. National Rate,12.8,22.7,34,,13.9,No Different than U.S. National Rate,10.0,18.8,62,,13.9,No Different than U.S. National Rate,10.0,19.1,120,,18.0,No Different than U.S. National Rate,14.1,22.9,33,,25.2,No Different than U.S. National Rate,20.8,30.3,83,,19.1,No Different than U.S. National Rate,15.4,23.2,132,
150,030085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,,,TUCSON,AZ,85741,PIMA,5207429000,18.3,No Different than U.S. National Rate,14.8,22.5,140,,12.8,No Different than U.S. National Rate,10.1,16.0,268,,12.3,No Different than U.S. National Rate,10.1,14.8,447,,18.8,No Different than U.S. National Rate,15.2,22.8,147,,21.6,No Different than U.S. National Rate,18.5,25.3,319,,17.3,No Different than U.S. National Rate,14.7,20.2,478,
151,030087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,,,SCOTTSDALE,AZ,85260,MARICOPA,4803233000,13.9,No Different than U.S. National Rate,11.2,17.2,276,,9.1,Better than U.S. National Rate,7.4,11.3,478,,10.4,No Different than U.S. National Rate,8.4,12.7,488,,16.7,No Different than U.S. National Rate,13.8,20.0,304,,23.5,No Different than U.S. National Rate,20.9,26.5,563,,19.4,No Different than U.S. National Rate,16.9,22.2,544,
152,030088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,,,MESA,AZ,85206,MARICOPA,4803212000,16.0,No Different than U.S. National Rate,12.3,20.7,65,,12.4,No Different than U.S. National Rate,10.1,15.0,467,,9.4,Better than U.S. National Rate,7.6,11.9,566,,19.0,No Different than U.S. National Rate,15.2,23.9,50,,29.9,Worse than U.S. National Rate,26.2,33.3,503,,18.6,No Different than U.S. National Rate,16.1,21.4,593,
153,030089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,,,GLENDALE,AZ,85306,MARICOPA,6025885555,15.9,No Different than U.S. National Rate,12.6,19.9,166,,9.0,Better than U.S. National Rate,7.0,11.4,355,,9.1,Better than U.S. National Rate,7.0,11.7,339,,21.5,No Different than U.S. National Rate,17.7,25.8,173,,24.9,No Different than U.S. National Rate,21.9,28.1,458,,20.8,No Different than U.S. National Rate,17.6,23.8,379,
154,030092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,,,PHOENIX,AZ,85027,MARICOPA,6238795574,14.9,No Different than U.S. National Rate,11.3,19.4,117,,11.9,No Different than U.S. National Rate,9.1,15.6,167,,10.0,No Different than U.S. National Rate,7.5,13.6,191,,18.2,No Different than U.S. National Rate,14.6,22.5,130,,24.3,No Different than U.S. National Rate,20.6,28.2,209,,18.6,No Different than U.S. National Rate,15.4,22.7,199,
155,030093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,,,SUN CITY WEST,AZ,85375,MARICOPA,6232144000,14.6,No Different than U.S. National Rate,12.1,17.4,385,,12.1,No Different than U.S. National Rate,9.9,14.7,462,,12.2,No Different than U.S. National Rate,10.2,14.6,599,,21.1,No Different than U.S. National Rate,17.8,24.6,353,,23.5,No Different than U.S. National Rate,20.7,26.6,561,,19.8,No Different than U.S. National Rate,17.2,22.4,647,
156,030094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,,,GLENDALE,AZ,85308,MARICOPA,6235611000,15.9,No Different than U.S. National Rate,12.1,20.5,63,,11.0,No Different than U.S. National Rate,8.2,14.4,136,,12.4,No Different than U.S. National Rate,9.2,16.2,169,,18.4,No Different than U.S. National Rate,14.6,23.1,68,,23.7,No Different than U.S. National Rate,20.0,27.9,175,,19.2,No Different than U.S. National Rate,15.9,23.3,196,
157,030100,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,,,TUCSON,AZ,85704,PIMA,5206962328,12.2,No Different than U.S. National Rate,9.5,15.5,231,,9.8,No Different than U.S. National Rate,7.4,12.9,238,,11.5,No Different than U.S. National Rate,8.0,15.9,83,,19.7,No Different than U.S. National Rate,16.6,23.4,314,,23.1,No Different than U.S. National Rate,19.8,26.9,334,,16.8,No Different than U.S. National Rate,13.3,21.0,85,
158,030101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,,,BULLHEAD CITY,AZ,86442,MOHAVE,9287632273,14.1,No Different than U.S. National Rate,10.9,18.1,162,,11.1,No Different than U.S. National Rate,8.7,14.1,331,,12.9,No Different than U.S. National Rate,9.7,17.0,177,,19.7,No Different than U.S. National Rate,16.2,23.6,148,,25.4,No Different than U.S. National Rate,22.3,29.0,393,,20.1,No Different than U.S. National Rate,16.5,24.1,179,
159,030103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,,,PHOENIX,AZ,85054,MARICOPA,4805156296,12.0,Better than U.S. National Rate,9.4,15.2,231,,8.9,Better than U.S. National Rate,6.9,11.3,385,,7.5,Better than U.S. National Rate,5.8,9.6,456,,19.7,No Different than U.S. National Rate,16.5,23.3,250,,25.6,No Different than U.S. National Rate,22.4,28.9,498,,19.5,No Different than U.S. National Rate,16.8,22.5,550,
160,030105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,,,MESA,AZ,85206,MARICOPA,4808545050,12.8,No Different than U.S. National Rate,10.4,15.8,428,,9.7,No Different than U.S. National Rate,7.5,12.1,599,,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,19.1,No Different than U.S. National Rate,16.3,22.2,491,,27.4,No Different than U.S. National Rate,24.5,30.3,860,,19.5,No Different than U.S. National Rate,15.1,25.0,26,
163,030110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,,,GOODYEAR,AZ,85395,MARICOPA,6238821500,17.1,No Different than U.S. National Rate,12.8,22.4,95,,11.6,No Different than U.S. National Rate,8.6,15.8,116,,12.2,No Different than U.S. National Rate,8.8,16.6,115,,21.5,No Different than U.S. National Rate,17.3,26.1,91,,25.0,No Different than U.S. National Rate,20.9,29.7,128,,18.0,No Different than U.S. National Rate,14.3,22.1,138,
164,030111,UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE,2800 EAST AJO WAY,,,TUCSON,AZ,85713,PIMA,5202944471,17.0,No Different than U.S. National Rate,12.8,22.3,73,,12.4,No Different than U.S. National Rate,8.8,17.6,50,,10.9,No Different than U.S. National Rate,7.5,15.6,57,,18.8,No Different than U.S. National Rate,14.7,23.5,64,,25.6,No Different than U.S. National Rate,20.9,30.8,52,,18.7,No Different than U.S. National Rate,14.8,23.3,67,
